employment_status_retired,employment_status_self-employed,employment_status_student,employment_status_unemployed,loan_purpose_car,loan_purpose_debt consolidation,loan_purpose_education,loan_purpose_home,loan_purpose_medical,loan_purpose_other,loan_purpose_vacation,age,education_level,annual_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,public_records,num_of_delinquencies,total_delinquency_impact,loan_income_ratio,loan_paid_back
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,-0.40585866565802564,-0.5931034482758621,743.0,0.18339522182811097,13.39,36.0,0.385279903077551,25.0,7.0,0.01783729217816416,0.2694045868865418,0.0,1.0,2.0,0.7123277862550258,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,-0.5395729680921939,0.4068965517241379,531.0,0.6354034573442785,17.81,60.0,0.3623398343363575,61.0,5.0,-0.36990120631637036,-0.34001301535771583,0.0,3.0,4.0,1.5962352359235006,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,-0.3420259580404682,0.510344827586207,779.0,-0.9315535408376588,9.53,60.0,-0.9462449135467558,24.0,2.0,-0.7455935690451982,-0.6243179972872258,0.0,0.0,0.0,-0.5012896239330993,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,-0.8124169362923862,0.7172413793103449,809.0,-0.0005713734100187124,7.99,36.0,0.08553142736742289,15.0,7.0,-0.6655610562324286,-0.5782613278870179,0.0,5.0,9.0,1.8830159315440331,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.0,-0.3701469219764563,0.6896551724137931,663.0,0.1321848508244057,15.2,60.0,-0.10560069531322022,45.0,1.0,-0.6863631685405686,-0.66546919055355,0.0,2.0,4.0,0.5952962832497323,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.6238102729166249,-0.5448275862068966,774.0,-0.1829506373304018,12.73,60.0,-0.38938857210582456,21.0,3.0,1.082132826051479,-0.15571952287856558,0.0,1.0,1.0,-0.30890720977581615,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,-0.3926197592707932,0.03448275862068969,742.0,-0.7443414787662532,12.48,36.0,-0.6270856104402334,23.0,6.0,-0.6588595832555397,-0.25512561535712897,0.0,3.0,6.0,-0.2862999904325955,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.5268548202963692,-0.17241379310344826,810.0,0.015657607365612523,8.45,36.0,0.11028879202496805,13.0,4.0,1.055392032100526,-0.2061521153567904,0.0,0.0,0.0,-0.1838973641756374,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.8658528827390722,-0.5931034482758621,724.0,-1.1893598580128844,9.95,36.0,-1.1047973978429486,34.0,6.0,0.07588086049251738,-0.12359059544471511,0.0,4.0,7.0,-0.7797862153954153,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.5541157435283666,1.4827586206896552,796.0,-0.01924803883692586,11.81,36.0,0.13625768729341414,21.0,4.0,0.01167679527581717,-0.10693247250488755,0.0,2.0,4.0,-0.21030456331255248,0
